,id,Latitude,Longtitude,Day,Date,Time,Width,height
0,4,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,8.58,1.82
1,18,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,9.94,2.16
2,7,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,6.24,1.82
3,1,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,20.66,2.16
4,15,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,66.08,15.27
5,12,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,12.67,1.59
6,45,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,12.67,1.59
7,54,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,11.5,1.94
8,58,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,20.47,1.82
9,66,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,20.47,1.82
10,3,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,18.52,1.71
11,68,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,18.52,1.71
12,79,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,11.89,1.59
13,95,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,38.4,5.13
14,32,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,13.84,3.42
15,76,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,18.71,1.82
16,94,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,39.57,3.3
17,80,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,18.71,5.47
18,114,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,18.71,5.47
19,130,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,18.71,5.47
20,131,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,18.71,5.47
21,136,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,49.12,5.47
22,137,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,49.12,5.47
23,138,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,49.12,5.47
24,139,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,49.12,5.47
25,147,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,20.47,2.73
26,148,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,20.47,2.73
27,158,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,8.58,2.05
28,126,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,20.66,2.62
29,160,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,20.66,2.62
30,167,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,20.66,2.62
31,96,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,21.44,5.58
32,180,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,21.44,5.58
33,187,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,43.66,12.53
34,198,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,43.66,12.53
35,201,-6.9222,107.6069,Friday,"20,10,2023",18:34:46,13.25,2.62
